STATEMENT,SUPPORTING DOC 1,SUPPORTING DOC 2,SUPPORTING DOC 3,JUDGEMENT,CONFIDENCE,DERIVATION STEP1,SUPPORTING SENT. FOR STEP1,DERIVATION STEP2,SUPPORTING SENT. FOR STEP2,DERIVATION STEP3,SUPPORTING SENT. FOR STEP3,SCORE,WikiHop ID
Gomphales belongs to Phallomycetidae,"The Gomphales are an order of basidiomycete fungi . Some or all families belonging to Gomphales have been sometimes included in the order Phallales ( and vice versa - they are also sometimes treated as synonyms ) , the now - obsolete Ramariaceae was also previously included in Cantharellales . Recent phylogenetic analyses include in Gomphales the families of the original description of the order by W. Jülich , with addition of Clavariadelphaceae . According to one 2008 estimate , the Gomphales contain 18 genera and 336 species .","The Phallales are an order of fungi in the subclass Phallomycetidae. The order contains three families: the Claustulaceae, the Gomphaceae, and the Phallaceae, which, according to a 2008 estimate, collectively contain 26 genera and 88 species.",,TRUE,verycf,Gomphales have been included in Phallales,"Some or all families belonging to Gomphales have been sometimes included in the order Phallales ( and vice versa - they are also sometimes treated as synonyms ) , the now - obsolete Ramariaceae was also previously included in Cantharellales .",Phallales are an order of fungi in the subclass Phallomycetidae.,The Phallales are an order of fungi in the subclass Phallomycetidae.,,,1342,WH_train_11969
Kulturkaufhaus tietz is located in Saxony,"The Kulturkaufhaus Tietz is a cultural centre in Chemnitz , sometimes also called Cultural Department Store . In 1913 the house was built by Wilhelm Kreis . During World War II it was used as a department store by the Kaufhaus Tietz ( Department Store of Tietz ) . In the 1990s the label Kaufhof had a shopping centre there . After a massive restoration of the building , in 2004 it was re-opened as `` DAStietz '' . Since then it contains some shops ( e.g. a bakery , a Fair Trade Shop , a bookshop and so on ) . Also the City Library of Chemnitz and the adult evening classes of the city , the Museum for Natural Education and the New Saxonian Gallery are located there . The store 's courtyard contains specimens from the Chemnitz petrified forest .","Chemnitz, known from 1953 to 1990 as Karl-Marx-Stadt, is the third-largest city in the Free State of Saxony, Germany. Chemnitz is an independent city which is not part of any county and seat of the 'Landesdirektion Sachsen'. Located in the northern foothills of the Ore Mountains, it is part of the Central German Metropolitan Region. The city's economy is based on the service sector and manufacturing industry. Chemnitz University of Technology has around 10,000 students.",,TRUE,bet,The Kulturkaufhaus Tietz is in Chemnitz,"The Kulturkaufhaus Tietz is a cultural centre in Chemnitz , sometimes also called Cultural Department Store .",Chemnitz is the city in Saxony,"Chemnitz, known from 1953 to 1990 as Karl-Marx-Stadt, is the third-largest city in the Free State of Saxony, Germany.",,,1396,WH_train_33704
"Havelter molen, havelte is located in Westerveld","The Havelter Molen is a smock mill at Havelte , Drenthe , the Netherlands which was built in 1914 and has been restored to working order . The mill is listed as a Rijksmonument , number 21029 .","Havelte is a village in the northeastern Netherlands. It is located in the municipality of Westerveld, Drenthe, about 60 km south-southwest of Groningen and 120 km northeast of Amsterdam.",,TRUE,bet,"The Havelter Molen, havelte is a smock mill at Havelte , Drenthe.","The Havelter Molen is a smock mill at Havelte , Drenthe , the Netherlands which was built in 1914 and has been restored to working order .","It is located in the municipality of Westerveld, Drenthe.","It is located in the municipality of Westerveld, Drenthe, about 60 km south-southwest of Groningen and 120 km northeast of Amsterdam.",,,1317,WH_train_26598
Phil diamond's occupation is Astronomer,Philip John Diamond is a Professor in the School of Physics and Astronomy at the University of Manchester . He was the director of the Jodrell Bank Centre for Astrophysics from 1 October 2006 until 2010 . He was the Chief of CSIRO 's Astronomy and Space Sciences Division from 1 June 2010 and in October 2012 he left CSIRO to become the Director General of the Square Kilometre Array ( SKA ) Organisation .,"The Jodrell Bank Centre for Astrophysics at the University of Manchester, is among the largest astrophysics groups in the UK. It includes the Jodrell Bank Observatory, the MERLIN/VLBI National Facility, the Development Office of the Square Kilometre Array, and the Jodrell Bank Visitor Centre. The Centre was formed after the merger of the Victoria University of Manchester and UMIST which brought two astronomy groups together. ","The Jodrell Bank Observatory (originally the Jodrell Bank Experimental Station, then the Nuffield Radio Astronomy Laboratories from 1966 to 1999) is a British observatory that hosts a number of radio telescopes, and is part of the Jodrell Bank Centre for Astrophysics at the University of Manchester. The observatory was established in 1945 by Sir Bernard Lovell, a radio astronomer at the University of Manchester who wanted to investigate cosmic rays after his work on radar during the Second World War. It has since played an important role in the research of meteors, quasars, pulsars, masers and gravitational lenses, and was heavily involved with the tracking of space probes at the start of the Space Age. The managing director of the observatory is Professor Simon Garrington.",TRUE,verycf,Phil Diamond is a Professor in the School of Physics and Astronomy.,Philip John Diamond is a Professor in the School of Physics and Astronomy at the University of Manchester .,NA,NA,,NA,1287,WH_train_1297
Margot mifflin's occupation is Journalist,"Margot Mifflin is an author who has written for The New York Times , ARTnews , Entertainment Weekly , The Chronicle of Higher Education , The Believer , The Village Voice , Elle Magazine and Salon.com . Mifflin holds an M.A. in journalism from New York University and a B.A. in English from Occidental College in Los Angeles , where she was friends with Barack Obama , an experience she has written about in her New York Times op - ed , `` The Occidental Tourist . '' She is a professor in the English Department of Lehman College ( City University of New York ) and co-director of the Arts and Culture program at CUNY 's Graduate School of Journalism . Her book Bodies of Subversion : A Secret History of Women and Tattoo , became the first history of women 's tattoo art when it was released in 1997 . A third edition was published in 2013 . She has lectured on tattoo history at colleges , universities and museums nationally , and appeared in the documentaries `` Women and Tattoo '' ( MSNBC , 2001 ) and `` Women of the Ink '' ( CNN , 1998 ) .","The Village Voice is an American news and culture paper, known for being the country's first alternative newsweekly. Founded in 1955 by Dan Wolf, Ed Fancher and Norman Mailer, the 'Voice' began as a platform for the creative community of New York City. Since its founding, 'The Village Voice' has received three Pulitzer Prizes, the National Press Foundation Award and the George Polk Award. Among news sources, 'The Village Voice' is known for its combination of in-depth news reporting and arts & culture coverage, with a particular focus on the arts communities of New York City. 'The Village Voice' has hosted a broad variety of writers and artists, including writer Ezra Pound, cartoonist Lynda Barry, and art critics Robert Christgau and J. Hoberman. In addition to daily coverage through its website and a weekly print edition that circulates in New York City, the 'Voice' issues a weekly digital edition of its magazine.","Norman Kingsley Mailer (January 31, 1923 – November 10, 2007) was an American novelist, journalist, essayist, playwright, film-maker, actor, and political activist. His novel 'The Naked and the Dead' was published in 1948. His best-known work was widely considered to be 'The Executioner's Song', which was published in 1979, and for which he won one of his two Pulitzer Prizes. In addition to the Pulitzer Prize, his book 'Armies of the Night' was awarded the National Book Award.",likely,verycf,"Margot Mifflin has written for The New York Times , ARTnews , Entertainment Weekly , The Chronicle of Higher Education , The Believer , The Village Voice , Elle Magazine and Salon.com .","Margot Mifflin is an author who has written for The New York Times , ARTnews , Entertainment Weekly , The Chronicle of Higher Education , The Believer , The Village Voice , Elle Magazine and Salon.com .",NA,NA,,NA,933,WH_train_41
Toamasina is located in Toamasina province,"Toamasina ( toˈmasinə̥ ) , meaning `` like salt '' or `` salty '' , unofficially and in French also Tamatave , is the capital of the Atsinanana region on the east coast of Madagascar on the Indian Ocean . The city is the chief seaport of the country , situated 215 km ( 134 mi ) northeast of its capital and biggest city Antananarivo , near the centre of the eastern coast at 18 10 S , 49 32 E. According to the 2013 official estimate , Toamasina had a population of 274,667 . The city is served by Toamasina Airport .","Atsinanana is a region in eastern Madagascar. It borders Analanjirofo region in north, Alaotra-Mangoro in west, Vakinankaratra and Amoron'i Mania in southwest and Vatovavy-Fitovinany in south.","Analanjirofo is a region in northeastern Madagascar. Until 2009 it was a part of Toamasina Province. It borders Sava Region to the north, Sofia Region to the west, Alaotra-Mangoro Region to the southwest and Atsinanana Region to the south.",likely,verycf,Toamasina is a region on the east coast of Madagascar.,"Toamasina ( toˈmasinə̥ ) , meaning `` like salt '' or `` salty '' , unofficially and in French also Tamatave , is the capital of the Atsinanana region on the east coast of Madagascar on the Indian Ocean .",,NA,There is a Toamasina province according to article 3. So it is very likely that toamasina is in tianasina province.,Until 2009 it was a part of Toamasina Province.,1243,WH_train_9267
Roger wolcott richardson's field of work is Algebra,"Roger Wolcott Richardson ( 30 May 1930 -- 15 June 1993 ) was a mathematician noted for his work in representation theory and geometry . He was born in Baton Rouge , Louisiana , and educated at Louisiana State University , Harvard University and University of Michigan , Ann Arbor where he obtained a Ph.D. under the supervision of Hans Samelson . He emigrated in 1970 , and subsequently worked in the United Kingdom and Australia . Richardson 's best known result states that if P is a parabolic subgroup of a reductive group , then P has a dense orbit on its nilradical , i.e. , one whose closure is the whole space . This orbit is now universally known as the Richardson orbit .","Representation theory is a branch of mathematics that studies abstract algebraic structures by 'representing' their elements as linear transformations of vector spaces, and studies 
modules over these abstract algebraic structures. In essence, a representation makes an abstract algebraic object more concrete by describing its elements by matrices and the algebraic operations in terms of matrix addition and matrix multiplication. The algebraic objects amenable to such a description include groups, associative algebras and Lie algebras. The most prominent of these (and historically the first) is the representation theory of groups, in which elements of a group are represented by invertible matrices in such a way that the group operation is matrix multiplication.","In mathematics, an associative algebra is an algebraic structure with compatible operations of addition, multiplication (assumed to be associative), and a scalar multiplication by elements in some field. The addition and multiplication operations together give 'A' the structure of a ring; the addition and scalar multiplication operations together give 'A' the structure of a vector space over 'K'. In this article we will also use the term 'K'-algebra'' to mean an associative algebra over the field 'K'. A standard first example of a 'K'-algebra is a ring of square matrices over a field 'K', with the usual matrix multiplication. ",TRUE,cf,Roger wolcott richardson worked on representation theory,Roger Wolcott Richardson ( 30 May 1930 -- 15 June 1993 ) was a mathematician noted for his work in representation theory and geometry .,Representation theory studies abstract algebraic structures,"Representation theory is a branch of mathematics that studies abstract algebraic structures by 'representing' their elements as linear transformations of vector spaces, and studies modules over these abstract algebraic structures.",,NA,1324,WH_train_38969
Dahomeyan democratic rally is in Benin,"The Dahomeyan Democratic Rally ( French : Rassemblement Démocratique Dahoméen , RDD ) was a political party in French Dahomey led by Hubert Maga .","Coutoucou Hubert Maga (August 1916 – May 8, 2000) was a politician from Dahomey (now known as Benin). He arose on a political scene where one's power was dictated by what region in Dahomey one lived in. Born a peasant in 1916, Maga served as a schoolmaster from 1936 to 1945, during which time he gradually gained considerable influence among the uneducated. He was elected to Dahomey's territorial assembly in 1947 and founded the Northern Ethnical Group, later renamed the Dahomey Democratic Rally ('Rassemblement Démocratique du Dahomé'). In 1951, Maga was elected to the French National Assembly, where he served in various positions, including premier from 1959 to 1960. When Dahomey gained its independence from France on August 1, 1960, Maga was appointed to the presidency, and was officially elected to that post on December 11.",,TRUE,verycf,the Dahomeyan Democratic Rally was a political party in French Dahomey led by Hubert Maga,"The Dahomeyan Democratic Rally ( French : Rassemblement Démocratique Dahoméen , RDD ) was a political party in French Dahomey led by Hubert Maga .",coutoucou Hubert Maga was a politician from Dahomey (now known as Benin),"Coutoucou Hubert Maga (August 1916 – May 8, 2000) was a politician from Dahomey (now known as Benin).",,,1258,WH_train_4555
Holly gauthier-frankel is born in Montreal,"Holly G. Frankel ( born July 13 , 1979 ) , also known as Holly Gauthier - Frankel , is a Canadian voice actress , singer , and Burlesque dancer . She is the daughter of Ron Frankel and Mary Lou Gauthier . Frankel is best known for supplying the voice of Fern in Arthur , Sagwa in Sagwa , the Chinese Siamese Cat , Teri in What 's with Andy ? , Loulou in Wimzie 's House , and Flora in the Cinélume 's English dub of Winx Club . She is also known for her alter - ego as burlesque performer Miss Sugarpuss .","Sagwa, the Chinese Siamese Cat is an educational Chinese and Canadian-American animated television series based on a 1994 novel by Amy Tan which aired on PBS Kids, produced by Canadian animation studio CinéGroupe and 'Sesame Street' creator Sesame Workshop. In the series, which is set c. 1840, during the Qing Dynasty, Sagwa has fun in her day-to-day life while learning and teaching valuable life lessons. The show is notable for its setting and messages about family obligations and loyalty. It was also a huge ratings success for PBS Kids. The series was developed and produced for television by executive producers George Daugherty and Michel Lemire, and producers David Ka Lik Wong and Leon G. Arcand.","CinéGroupe was a Canadian animation studio based in Montreal, Quebec. The company was founded in 1974. Its shows and films have been seen in over 125 countries as of 2005.",likely,cf,"Holly Gauthier-Frankel is known for supplying the voice Sagwa in Sagwa , the Chinese Siamese Cat.","Frankel is best known for supplying the voice of Fern in Arthur , Sagwa in Sagwa , the Chinese Siamese Cat , Teri in What 's with Andy ?","Sagwa, the Chinese Siamese Cat is animated television series, produced by CinéGroupe.","Sagwa, the Chinese Siamese Cat is an educational Chinese and Canadian-American animated television series based on a 1994 novel by Amy Tan which aired on PBS Kids, produced by Canadian animation studio CinéGroupe and 'Sesame Street' creator Sesame Workshop.","CinéGroupe was an animation studio based in Montreal, Quebec.","CinéGroupe was a Canadian animation studio based in Montreal, Quebec.",1257,WH_train_22075
Pallene is located in Chalkidiki,"Pallene ( Greek : Παλλήνη ) is the ancient name of the westernmost of the three headlands of Chalcidice , which run out into the Aegean Sea . Its modern name is Kassandra Peninsula ( Χερσόνησος Κασσάνδρας ) . It is said to have anciently borne the name of Phlegra ( Φλέγρα ) and to have witnessed the conflict between the gods and the earthborn Gigantes . The modern name of the peninsula is Kassandra , which , besides affording excellent winter pasture for cattle and sheep , also produces an abundance of grain of superior quality , as well as wool , honey , and wax , besides raising silkworms . In antiquity , Pallene was the site of numerous towns : Sane , Mende , Scione , Therambos , Aege , Neapolis , Aphytis , which were either wholly or partly colonies from Eretria . Strabo mentions the following five cities of Pallene in the 1st century BC ( Cassandreia , Aphytis , Mende , Scione and Sane ) .","Scione was an ancient Greek city in Pallene, the westernmost headland of Chalcidice, on the southern coast east of the modern town of Nea Skioni. ","Nea Skioni is a village and a community in the peninsula of Kassandra, Chalkidiki, Greece. The population in 2011 was 828 for the village and 854 for the community, which includes the village Frama. Its elevation is 10 m. Nea Skioni is located 7 km southwest of Chaniotis, 7 km west of Agia Paraskevi and 90 km southeast of Thessaloniki. It is named after the ancient city of Scione, whose site was nearby to the east.",likely,cf,Pallene has five cities including Scione.,"Strabo mentions the following five cities of Pallene in the 1st century BC ( Cassandreia , Aphytis , Mende , Scione and Sane ) .",Scione was on the southern coast east of the modern town of Nea Skioni.,"Scione was an ancient Greek city in Pallene, the westernmost headland of Chalcidice, on the southern coast east of the modern town of Nea Skioni.",Nea Skioni is a village in Chalkidiki.,"Nea Skioni is a village and a community in the peninsula of Kassandra, Chalkidiki, Greece.",1349,WH_train_29898
"Catherine brandon, duchess of suffolk is a citizen of Kingdom of england","Catherine Brandon , Duchess of Suffolk , suo jure 12th Baroness Willoughby de Eresby ( 22 March 1519 -- 19 September 1580 ) , was an English noblewoman living at the royal courts of King Henry VIII , King Edward VI and later , Queen Elizabeth I. She was the fourth wife of Charles Brandon , 1st Duke of Suffolk , who acted as her legal guardian during his third marriage to Mary Tudor , the younger sister of Henry VIII. Her second husband was Richard Bertie , a member of her household . Following Charles Brandon 's death in 1545 , it was rumoured that King Henry had considered marrying Catherine as his seventh wife , while he was still married to his sixth wife , Catherine Parr , who was Catherine 's close friend . An outspoken supporter of the English Reformation , she fled abroad to Wesel and later the Polish -- Lithuanian Commonwealth during the reign of Queen Mary I , to avoid persecution .","Catherine Parr (alternatively spelled Katherine or Kateryn, signed 'Kateryn the Quene KP') was Queen of England and of Ireland (1543–47) as the last of the six wives of King Henry VIII, and the final queen consort of the House of Tudor. She married him on 12 July 1543, and outlived him by one year. She was also the most-married English queen, with four husbands.","The House of Tudor was a royal house of Welsh and English origin, descended in the male line from the Tudors of Penmynydd. Tudor monarchs ruled the Kingdom of England and its realms, including their ancestral Wales and the Lordship of Ireland (later the Kingdom of Ireland) from 1485 until 1603, with five monarchs in that period. The Tudors succeeded the House of Plantaganet as rulers of the Kingdom of England, and were succeeded by the House of Stuart. The first monarch, Henry VII, descended through his mother from a legitimised branch of the English royal House of Lancaster. The Tudor family rose to power in the wake of the Wars of the Roses, which left the House of Lancaster, to which the Tudors were aligned, extinct.",TRUE,bet,"Catherine Brandon, Duchess of Suffolk was an English noblewoman living at the royal courts of King Henry VIII.","Catherine Brandon , Duchess of Suffolk , suo jure 12th Baroness Willoughby de Eresby ( 22 March 1519 -- 19 September 1580 ) , was an English noblewoman living at the royal courts of King Henry VIII , King Edward VI and later , Queen Elizabeth I.",NA,NA,,NA,1155,WH_train_8123
List of sonny with a chance episodes is a list of Episode,"Sonny with a Chance is an American sitcom created by Steve Marmel for Disney Channel Original Series . It aired from February 8 , 2009 to January 2 , 2011 . The series revolves around Sonny Munroe ( Demi Lovato ) , a teenage comedian who wins the chance of starring in the fictional children 's sketch comedy series , So Random ! . She is assisted by fellow cast members and new friends Tawni Hart ( Tiffany Thornton ) , Nico Harris ( Brandon Mychal Smith ) , Grady Mitchell ( Doug Brochu ) and Zora Lancaster ( Allisyn Ashley Arm ) , along with Chad Dylan Cooper ( Sterling Knight ) , the star of Mackenzie Falls , the rival tween TV show of So Random ! .","Sonny with a Chance is an American sitcom which aired on Disney Channel, created by Steve Marmel. The series follows the experiences of teenager Sonny Munroe, portrayed by Demi Lovato, who becomes the newest accepted cast member of her favorite live comedy television show, 'So Random!'.","A situation comedy, or sitcom, is a genre of comedy centered on a fixed set of characters who carry over from episode to episode. Sitcoms can be contrasted with sketch comedy where a troupe may use new characters in each sketch, and stand-up comedy where a comedian tells jokes and stories to an audience. Sitcoms originated in radio, but today are found mostly on television as one9 of its dominant narrative forms. This form can also include mockumentaries.",TRUE,verycf,list of sonny with a chance episodes is an American sitcom created by Steve Marmel for Disney Channel Original Series,Sonny with a Chance is an American sitcom created by Steve Marmel for Disney Channel Original Series .,NA,NA,,NA,1137,WH_train_33467
Jacob of serugh's religion is Syriac orthodox church,"Jacob of Serugh ( Syriac : ܝܥܩܘܒ ܣܪܘܓܝܐ ‎ , Yaʿqûḇ Srûḡāyâ ; his toponym is also spelled Serug or Sarug ; c. 451 -- 29 November 521 ) , also called Mar Jacob , was one of the foremost Syriac poet - theologians among the Syriac , perhaps only second in stature to Ephrem the Syrian and equal to Narsai . Where his predecessor Ephrem is known as the ' Harp of the Spirit ' , Jacob is the ' Flute of the Spirit ' . He is best known for his prodigious corpus of more than seven - hundred verse homilies , or mêmrê ( ܡܐܡܖ̈ܐ ) , of which only 225 have thus far been edited and published .","Narsai (sometimes spelt 'Narsay', 'Narseh' or 'Narses' 'Narsai', name derived from Pahlavi 'Narsēh' from Avestan 'Nairyō.saȵhō', meaning 'potent utterance', the name of a yazata) was one of the foremost of Syriac poet-theologians, perhaps equal in stature to Jacob of Serugh, both second only to Ephrem the Syrian. He is the most important writer of the Church of the East, in which he is known as the 'Harp of the Spirit'. Although many of his works are likely lost, around eighty of his mêmrê, or verse homilies are extant.","Ephrem the Syrian ('Mār Aprêm Sûryāyâ'; Greek:  also known as 'St. Ephraem' ('Ephrem, Ephraim'); ca. 306 – 373) was a Syriac Christian deacon and a prolific Syriac-language hymnographer and theologian of the 4th century. 
He is especially beloved in the Syriac Orthodox Church, and counted as a Venerable Father (i.e., a sainted Monk) in Eastern Orthodoxy. His feast day is celebrated on 28 January and on the Saturday of the Venerable Fathers. He has been declared a Doctor of the Church in Roman Catholicism in 1920.",TRUE,verycf,jacob of Serugh is also spelled Serug or Sarug also called Mar Jacob,"Jacob of Serugh ( Syriac : ܝܥܩܘܒ ܣܪܘܓܝܐ ‎ , Yaʿqûḇ Srûḡāyâ ; his toponym is also spelled Serug or Sarug ; c. 451 -- 29 November 521 ) , also called Mar Jacob , was one of the foremost Syriac poet - theologians among the Syriac , perhaps only second in stature to Ephrem the Syrian and equal to Narsai .",he is the most important writer of the Church of the East,"He is the most important writer of the Church of the East, in which he is known as the 'Harp of the Spirit'.",he is especially beloved in the Syriac Orthodox Church,"He is especially beloved in the Syriac Orthodox Church, and counted as a Venerable Father (i.e., a sainted Monk) in Eastern Orthodoxy.",1321,WH_train_32935
Protekon's headquarter is located in Johannesburg,"Protekon performs maintenance and development services for the ports , railways and terminals of South Africa 's state - owned transportation giant Transnet . It is similar in function to the company Transnet Rail Engineering , which performs mainenance and development for the rolling stock of Transnet 's railways divisions .","Transnet Rail Engineering, formerly known as Transwerk, is a subsidiary of Transnet whose business it is to keep South Africa's trains rolling. According to the Operational Report at Transnet, Transnet Rail Engineering's responsibility includes 'the maintenance, upgrade and manufacture of locomotives, wagons, coaches, rolling stock components and associated transport equipment'. The company operates seven factories in South Africa. Transnet Rail Engineering maintains sales offices in 7 European countries, 11 African countries and in Australia.","Transnet SOC Ltd is a large South African rail, port and pipeline company, headquartered in the Carlton Centre in Johannesburg. It was formed as a limited company on 1 April 1990. A majority of the company's stock is owned by the Department of Public Enterprises, or DPE, of the South African government. The company was formed by restructuring into business units the operations of South African Railways and Harbours and other existing operations and products.",TRUE,cf,Protekon performs maintenance and development services for the ports,"Protekon performs maintenance and development services for the ports , railways and terminals of South Africa 's state - owned transportation giant Transnet .",The company operates seven factories,The company operates seven factories in South Africa.,"Transnet SOC Ltd is a large South African rail, port and pipeline company, headquartered in the Johannesburg.","Transnet SOC Ltd is a large South African rail, port and pipeline company, headquartered in the Carlton Centre in Johannesburg.",1287,WH_train_19724
Uraba belongs to Nolinae,Uraba was a genus of moths of the Nolidae family . It is now considered a synonym of Roeselia .,"Nolidae is a family of moths with about 1,400 described species worldwide. They are mostly small with dull coloration, the main distinguishing feature being a silk cocoon with a vertical exit slit. The group is sometimes known as tuft moths after the tufts of raised scales on the forewings of two subfamilies, Nolinae and Collomeninae. The larvae also tend to have muted colors and tufts of short hairs.",,TRUE,verycf,Uraba was a genus in the Nolidae family .,Uraba was a genus of moths of the Nolidae family .,,NA,,,1371,WH_train_8440
Mel and sue's occupation is Comedian,"Mel Giedroyc ( born 15 June 1968 ) and Sue Perkins ( born 22 September 1969 ) , known collectively as Mel and Sue , are an English comedy double act best known for hosting their lunchtime chat shows Light Lunch and Late Lunch . More recently they have hosted the BAFTA Award - winning BBC One cookery series The Great British Bake Off .",Light Lunch was a Channel 4 lunch-time comedy chatshow broadcast on weekdays at 12:30 between March 1997 and February 1998. It starred Mel and Sue (Sue Perkins and Mel Giedroyc). The show was a huge success initially but audience figures declined slowly eventually resulting in low viewer figures and was deemed 'unsatisfactory' by Channel 4.,"Melanie Clare Sophie 'Mel' Giedroyc (born 5 June 1968) is an English presenter, actress and comedian, best known for her comedy work with Sue Perkins, co-hosting series including 'Light Lunch' for Channel 4, 'The Great British Bake Off' for the BBC and chat show 'Mel and Sue' for ITV.",TRUE,verycf,Mel and Sue are an English comedy double act.,"Mel Giedroyc ( born 15 June 1968 ) and Sue Perkins ( born 22 September 1969 ) , known collectively as Mel and Sue , are an English comedy double act best known for hosting their lunchtime chat shows Light Lunch and Late Lunch .",NA,NA,,NA,1350,WH_train_30570
Chris wall is a member of Fianna fáil,"( Christopher Joseph ) Chris Wall ( born 23 December 1946 , in Dublin ) is an associate of former Taoiseach Bertie Ahern . He served as Ahern 's election agent at the 2007 general election , and after the election he was nominated by the Taoiseach to serve as a Senator for the final weeks of the 22nd Seanad . He filled one of the vacancies caused by the election of four of the nominated Senators to Dáil Éireann . A former Irish athlete , Wall served as the International Secretary for BLE ( the forerunner to Athletic Association of Ireland ) from 1984 to 2000 .",Patrick Bartholomew 'Bertie' Ahern (born 12 September 1951) is a former Irish Fianna Fáil politician who served as Taoiseach of Ireland from 26 June 1997 to 7 May 2008.,,TRUE,cf,chris wall is an associate of former taoiseach bertie ahern .,"( Christopher Joseph ) Chris Wall ( born 23 December 1946 , in Dublin ) is an associate of former Taoiseach Bertie Ahern .",fianna fáil politician who served as taoiseach of ireland.,Patrick Bartholomew 'Bertie' Ahern (born 12 September 1951) is a former Irish Fianna Fáil politician who served as Taoiseach of Ireland from 26 June 1997 to 7 May 2008.,,,1320,WH_train_16491
A genre of Return to two moon junction is Romance film,"Return to Two Moon Junction is a 1995 romantic drama film which serves as a sequel to the 1988 film Two Moon Junction . The plot concerns a New York fashion model who returns to her Georgia home town where she has an affair with a local sculptor . The film was directed by Farhad Mann , and stars Melinda Clarke , Wendy Davis , and Louise Fletcher .","Two Moon Junction is a 1988 American erotic thriller romance film written and directed by Zalman King, starring Sherilyn Fenn and Richard Tyson. The original music score is composed by Jonathan Elias.",,TRUE,cf,Return to Two Moon Junction is a romantic drama film.,Return to Two Moon Junction is a 1995 romantic drama film which serves as a sequel to the 1988 film Two Moon Junction .,,NA,,,1335,WH_train_4358
A genre of Fall out boy's evening out with your girlfriend is Rock music,"Fall Out Boy 's Evening Out with Your Girlfriend is the debut mini-LP by American rock band Fall Out Boy . Recorded in two days around February to September 2002 on a low budget , the rushed schedule left the band discontent and ceasing to call it their debut album . Fall Out Boy 's Evening Out with Your Girlfriend was released in 2003 through Uprising Records against the band 's wishes . In 2005 , Uprising released a remastered reissue as Evening Out with Your Girlfriend , without the band 's involvement , following the band 's very successful major label debut From Under the Cork Tree . It eventually sold over 127,000 copies in the United States by August 2008 , according to Billboard . The photograph on the cover of this album was shot by Adeet Deshmukh in Chicago 's Pick Me Up Café located at 3408 N. Clark Street . The girl who is pictured on the cover is a waitress at said café , and her name is Lavinia , as noted in the booklet of the album .","Fall Out Boy is an American rock band formed in Wilmette, Illinois, a suburb of Chicago, in 2001. The band consists of lead vocalist and rhythm guitarist Patrick Stump, bassist Pete Wentz, lead guitarist Joe Trohman, and drummer Andy Hurley. The band originated from Chicago's hardcore punk scene, with which all members were involved at one point. The group was formed by Wentz and Trohman as a pop punk side project of the members' respective hardcore bands, and Stump joined shortly thereafter. The group went through a succession of drummers before landing Hurley and recording the group's debut album, 'Take This to Your Grave' (2003). The album became an underground success and helped the band gain a dedicated fanbase through heavy touring, as well as some moderate commercial success. 'Take This to Your Grave' has commonly been cited as an influential blueprint for pop punk music in the 2000s.","Hardcore punk (often abbreviated to hardcore) is a punk rock music genre that originated in the late 1970s. It is generally faster, harder, and more aggressive than other forms of punk rock. Its roots can be traced to earlier punk scenes in San Francisco and Southern California which arose as a reaction against the still predominant hippie cultural climate of the time and was also inspired by New York punk rock and early proto-punk. New York punk had a harder-edged sound than its San Francisco counterpart, featuring anti-art expressions of masculine anger, energy and subversive humor. Hardcore punk generally disavows commercialism, the established music industry and 'anything similar to the characteristics of mainstream rock' and often addresses social and political topics.",TRUE,verycf,fall Out boy's Evening Out with Your Girlfriend is the debut mini-LP by American rock band,Fall Out Boy 's Evening Out with Your Girlfriend is the debut mini-LP by American rock band Fall Out Boy .,NA,NA,,NA,1218,WH_train_7101
